scope,metric,count,total,fraction,note
summary,primary_states_examined,45,45,1.0,distinct primary chart states on the bounded lawful H_v8 surface
summary,distinct_spin_H_core_states_reached,38315,45,851.4444444444445,distinct canonical parent transport-side core states
summary,collision_count,0,45,0.0,many-to-one collisions from primary chart states into canonical parent transport-side core states
summary,recursive_consistency_rate,38315,38315,1.0,fraction of parent core states whose lawful component updates remain canonical
summary,distinct_spin_classes_represented,16,16,1.0,distinct projected spin_h4 classes derived from sigma
summary,distinct_radial_classes_represented,3,3,1.0,distinct radial classes represented in rho
projection,spin_h4_derivable_from_parent,1,1,1.0,Pi_pred(spin_H_core_v1) -> spin_h4
projection,tau_derivable_from_parent,1,1,1.0,Pi_rec(spin_H_core_v1) -> tau
projection,kappa_derivable_from_parent,1,1,1.0,Pi_hol(spin_H_core_v1) -> kappa
representation,theta_explicit,1,1,1.0,"theta = (b, phi) exists explicitly"
representation,rho_explicit,1,1,1.0,rho exists explicitly
representation,sigma_explicit,1,1,1.0,sigma exists explicitly
representation,h_explicit,1,1,1.0,h exists explicitly
comparison_vs_extended_v2,collision_change,0,0,0.0,change in collisions relative to spin_H_extended_v2
comparison_vs_extended_v2,recursive_consistency_change,0,38315,0.0,change in recursive consistency relative to spin_H_extended_v2
update_law,hold,38315,38315,1.0,dominant_component_delta=theta0_rho0_sigma0_h0
update_law,torus_base_advance,38315,38315,1.0,dominant_component_delta=theta1_rho0_sigma0_h0
update_law,composite_swap,19463,38315,0.5079733785723607,dominant_component_delta=theta0_rho0_sigma1_h1
update_law,coupled_torus_kick,21161,38315,0.5522902257601462,dominant_component_delta=theta1_rho1_sigma1_h1
update_law,composite_twist,37607,38315,0.9815215972856584,dominant_component_delta=theta0_rho1_sigma1_h1
update_law,fiber_phase_lift_spin_transport,37551,38315,0.9800600287093828,dominant_component_delta=theta1_rho1_sigma1_h1
update_law,radial_transport_unfolding,28857,38315,0.7531515072425943,dominant_component_delta=theta1_rho1_sigma1_h1
