scope,metric,count,total,fraction,note
summary,primary_states_examined,45,45,1.0,distinct primary chart states on the bounded lawful H_v8 surface
summary,distinct_transport_identities_reached,38315,45,851.4444444444445,distinct coherent transport identities under spin_H_extended_v2
summary,collision_count,0,45,0.0,many-to-one collisions from primary chart states into coherent extended transport identities with kappa
summary,ambiguity_count,45,45,1.0,primary chart states with more than one coherent extended transport identity
summary,recursive_consistency_rate,38315,38315,1.0,fraction of coherent transport identities whose lawful component updates remain canonical
summary,canonical_states_under_iteration,38315,38315,1.0,coherent transport identities with unique lawful successor identity for every component
summary,noncanonical_branching_states,0,38315,0.0,coherent transport identities whose lawful successors still branch for some component
summary,distinct_spin_classes_represented,816,816,1.0,number of distinct predictive-plus-kappa spin classes represented
summary,distinct_radial_classes_represented,3,3,1.0,number of distinct radial classes represented in extended transport identities
comparison_vs_v1,recursive_consistency_improvement,1137,38315,0.01337508624807604,change in recursive consistency rate relative to spin_H_extended_v1
comparison_vs_v1,branching_reduction,504,504,1.0,reduction in noncanonical branching states relative to spin_H_extended_v1
comparison_vs_v1,collision_change,0,0,0.0,change in primary-state collisions relative to spin_H_extended_v1
representation,angular_identity_preserved,1,1,1.0,extended state preserves angular identity explicitly
representation,radial_identity_preserved,1,1,1.0,extended state preserves radial class explicitly
representation,predictive_structure_preserved,1,1,1.0,extended state preserves predictive structure explicitly
representation,recursive_closure_preserved,1,1,1.0,extended state preserves recursive closure structure explicitly
representation,kappa_active_in_transport_identity,1,1,1.0,kappa is carried explicitly and equals the hidden operator-side twist parity
representation,previous_two_preimage_branching_pattern_gone,1,1,1.0,the prior two-preimage hidden-twist branching pattern is absent
